ARROW_DAMAGE,48
arrowdmg,48
arrdmg,48
ARROW_FIRE,50
arrfire,50
ARROW_INFINITE,51
arrowinf,51
arrinfinite,51
arrinf,51
DAMAGE_ALL,16
dmgall,16
damage,16
dmg,16
DAMAGE_ARTHROPODS,18
dmgarthropods,18
arthropods,18
DAMAGE_UNDEAD,17
dmgundead,17
undead,17
DEPTH_STRIDER,8
dstrider,8
strider,8
DIG_SPEED,32
dspeed,32
dig,32
speed,32
DURABILITY,34
dura,34
FIRE_ASPECT,20
faspect,20
aspect,20
KNOCKBACK,19
knock,19
LOOT_BONUS_BLOCKS,35
lootbonusb,35
lootbb,35
lbb,35
lootbblocks,35
lbblocks,35
lootblocks,35
LOOT_BONUS_MOBS,21
lootbonusm,21
lootbm,21
lbm,21
lootbmobs,21
lbmobs,21
lootmobs,21
LUCK,61
lucky,61
LURE,62
luring,62
OXYGEN,5
oxy,5
o2,5
air,5
PROTECTION_ENVIRONMENTAL,0
protectionenv,0
protenvrionmental,0
protenv,0
environmental,0
env,0
PROTECTION_EXPLOSIONS,3
protectionexpl,3
protexplosions,3
protexpl,3
explosions,3
expl,3
PROTECTION_FALL,2
protectionfall,2
protfall,2
fall,2
PROTECTION_FIRE,1
protectionfire,1
protfire,1
fire,1
PROTECTION_PROJECTILE,4
protectionproj,4
protprojectile,4
protproj,4
projectile,4
proj,4
SILK_TOUCH,33
silk,33
silkt,33
touch,33
THORNS,7
thorn,7
WATER_WORKER,6
waterwork,6
waterwrk,6
wtrworker,6
wtrwork,6
wtrwrk,6
water,6
worker,6
